formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
Mg16Al12Cu,0.000283864,19.98484247,942.3244828,132.4137931,0.59,1.454482759,0.413793103,0.344827586,4.616666667,8.966091954
Mg16Al12In,-0.008014349,20.29877183,910.3237931,132.7586207,0.47,1.450344828,0.448275862,0.344827586,3.966666667,9.086781609
Mg16Al12Ni,-0.009346901,19.6065809,955.0910345,132.137931,0.6,1.454827586,0.413793103,0.275862069,3.966666667,8.988505747
Mg16Al12Sn,-0.007051227,20.20512572,912.9213793,132.6551724,0.65,1.456551724,0.482758621,0.344827586,3.966666667,8.997471264
Mg16Al12Zn,-0.010011136,19.89087602,919.3903448,132.0689655,0.34,1.445862069,0.413793103,0.344827586,4.95,8.954597701
Mg16Al13,-0.0056885,19.92716827,927.6934483,132.0344828,0.3,1.444482759,0.448275862,0,3.966666667,8.988505747
Mg17Al11Ag,-0.018628988,20.09171995,937.7275862,133.5517241,0.62,1.445172414,0.379310345,0.344827586,3.966666667,9.13183908
Mg17Al11In,-0.006723222,20.59279453,909.9627586,133.4482759,0.47,1.44,0.413793103,0.344827586,3.966666667,9.223563218
Mg17Al11Sn,-0.010450465,20.60612268,912.5603448,133.3448276,0.65,1.446206897,0.448275862,0.344827586,3.966666667,9.134252874
Mg17Al11Zn,-0.011640289,20.0156119,919.0293103,132.7586207,0.34,1.435517241,0.379310345,0.344827586,4.95,9.09137931
Mg17Al12,-0.00933172,19.59893113,927.3324138,132.7241379,0.3,1.434137931,0.413793103,0,3.966666667,9.125287356
Mg18Al11,0.003349743,20.3851483,926.9713793,133.4137931,0.3,1.423793103,0.379310345,0,3.966666667,9.262068966
Mg19Al4Zn15,-0.059428427,18.25827231,833.1863158,131.3947368,0.34,1.475789474,0.105263158,3.947368421,4.95,8.395175439
Mg21Zn25,-0.115493462,17.76775217,797.826087,130.673913,0.34,1.494782609,0,5.434782609,4.95,8.076449275
Mg23Al30,-0.010167055,19.31060367,928.9264151,129.6792453,0.3,1.479811321,0.566037736,0,3.966666667,8.521383648
Mg26Ag7,-0.088675231,21.03304551,989.1669697,141.8484848,0.62,1.441515152,0,2.121212121,3.776666667,9.965555556
Mg2Ag,-0.142878668,19.21350228,1026.976667,142.3333333,0.62,1.516666667,0,3.333333333,3.776666667,9.507777778
Mg2Al3,0.106014262,19.95253602,929.282,129,0.3,1.49,0.6,0,3.966666667,8.386666667
Mg2Al4Zn3,0.041705417,17.75078994,850.88,125.7777778,0.34,1.556666667,0.444444444,3.333333333,4.95,7.353703704
Mg2Bi,-0.039837853,26.1840868,796.8,143.3333333,0.71,1.546666667,1,3.333333333,10.36666667,7.311111111
Mg2Bi3,-0.03344819,30.60761094,695.84,145.2,0.71,1.736,1.8,6,10.36666667,4.546666667
Mg2Cu,-0.087480522,17.65983215,1067.923333,138,0.59,1.506666667,0,3.333333333,4.616666667,9.227777778
Mg2CuAg,1.226018747,249.2443026,1109.675,139.75,0.62,1.6125,0,5,4.616666667,8.668333333
Mg2In,-0.05070042,22.50218052,758.5833333,141.3333333,0.47,1.466666667,0.333333333,3.333333333,1.116666667,10.39444444
